match_id,stage,home_slot,away_slot,home_team,away_team,winner,loser,home_p_champion,away_p_champion,winner_p_champion,selection_rule
73,R32,Runner-up Group A,Runner-up Group B,South Korea,Canada,Canada,South Korea,0.0064294195987443,0.0080473335910267,0.0080473335910267,higher_gyan_p_champion
74,R32,Winner Group E,3rd Group A/B/C/D/F,Germany,Paraguay,Germany,Paraguay,0.0498386462745541,0.0068540914238823,0.0498386462745541,higher_gyan_p_champion
75,R32,Winner Group F,Runner-up Group C,Netherlands,Morocco,Netherlands,Morocco,0.0367218639912243,0.0191516176710344,0.0367218639912243,higher_gyan_p_champion
76,R32,Winner Group C,Runner-up Group F,Brazil,Japan,Brazil,Japan,0.0768247279722248,0.0168047600874429,0.0768247279722248,higher_gyan_p_champion
77,R32,Winner Group I,3rd Group C/D/F/G/H,France,Egypt,France,Egypt,0.1122302378567414,0.0066477501180993,0.1122302378567414,higher_gyan_p_champion
78,R32,Runner-up Group E,Runner-up Group I,Ecuador,Norway,Norway,Ecuador,0.0131189348575392,0.0158259080073994,0.0158259080073994,higher_gyan_p_champion
79,R32,Winner Group A,3rd Group C/E/F/H/I,Mexico,Ivory Coast,Mexico,Ivory Coast,0.0189698752109686,0.007773595892997,0.0189698752109686,higher_gyan_p_champion
80,R32,Winner Group L,3rd Group E/H/I/J/K,England,Democratic Republic of the Congo,England,Democratic Republic of the Congo,0.0921103908169856,0.0055731937593288,0.0921103908169856,higher_gyan_p_champion
81,R32,Winner Group D,3rd Group B/E/F/I/J,United States,Bosnia and Herzegovina,United States,Bosnia and Herzegovina,0.0158414165127739,0.005485030754845,0.0158414165127739,higher_gyan_p_champion
82,R32,Winner Group G,3rd Group A/E/H/I/J,Belgium,Czech Republic,Belgium,Czech Republic,0.0178031512216877,0.0062474754597771,0.0178031512216877,higher_gyan_p_champion
83,R32,Runner-up Group K,Runner-up Group L,Colombia,Croatia,Colombia,Croatia,0.0195342511575933,0.0125231875462839,0.0195342511575933,higher_gyan_p_champion
84,R32,Winner Group H,Runner-up Group J,Spain,Austria,Spain,Austria,0.1320421765677434,0.0071125339680476,0.1320421765677434,higher_gyan_p_champion
85,R32,Winner Group B,3rd Group E/F/G/I/J,Switzerland,Algeria,Switzerland,Algeria,0.010319213070298,0.0070305638482968,0.010319213070298,higher_gyan_p_champion
86,R32,Winner Group J,Runner-up Group H,Argentina,Uruguay,Argentina,Uruguay,0.0863934090763941,0.013490415187662,0.0863934090763941,higher_gyan_p_champion
87,R32,Winner Group K,3rd Group D/E/I/J/L,Portugal,Senegal,Portugal,Senegal,0.0770715835561787,0.0114550512502837,0.0770715835561787,higher_gyan_p_champion
88,R32,Runner-up Group D,Runner-up Group G,Turkey,Iran,Turkey,Iran,0.0129641106455707,0.0073996240723001,0.0129641106455707,higher_gyan_p_champion
89,R16,Winner Match 74,Winner Match 77,Germany,France,France,Germany,0.0498386462745541,0.1122302378567414,0.1122302378567414,higher_gyan_p_champion
90,R16,Winner Match 73,Winner Match 75,Canada,Netherlands,Netherlands,Canada,0.0080473335910267,0.0367218639912243,0.0367218639912243,higher_gyan_p_champion
91,R16,Winner Match 76,Winner Match 78,Brazil,Norway,Brazil,Norway,0.0768247279722248,0.0158259080073994,0.0768247279722248,higher_gyan_p_champion
92,R16,Winner Match 79,Winner Match 80,Mexico,England,England,Mexico,0.0189698752109686,0.0921103908169856,0.0921103908169856,higher_gyan_p_champion
93,R16,Winner Match 83,Winner Match 84,Colombia,Spain,Spain,Colombia,0.0195342511575933,0.1320421765677434,0.1320421765677434,higher_gyan_p_champion
94,R16,Winner Match 81,Winner Match 82,United States,Belgium,Belgium,United States,0.0158414165127739,0.0178031512216877,0.0178031512216877,higher_gyan_p_champion
95,R16,Winner Match 86,Winner Match 88,Argentina,Turkey,Argentina,Turkey,0.0863934090763941,0.0129641106455707,0.0863934090763941,higher_gyan_p_champion
96,R16,Winner Match 85,Winner Match 87,Switzerland,Portugal,Portugal,Switzerland,0.010319213070298,0.0770715835561787,0.0770715835561787,higher_gyan_p_champion
97,QF,Winner Match 89,Winner Match 90,France,Netherlands,France,Netherlands,0.1122302378567414,0.0367218639912243,0.1122302378567414,higher_gyan_p_champion
98,QF,Winner Match 93,Winner Match 94,Spain,Belgium,Spain,Belgium,0.1320421765677434,0.0178031512216877,0.1320421765677434,higher_gyan_p_champion
99,QF,Winner Match 91,Winner Match 92,Brazil,England,England,Brazil,0.0768247279722248,0.0921103908169856,0.0921103908169856,higher_gyan_p_champion
100,QF,Winner Match 95,Winner Match 96,Argentina,Portugal,Argentina,Portugal,0.0863934090763941,0.0770715835561787,0.0863934090763941,higher_gyan_p_champion
101,SF,Winner Match 97,Winner Match 98,France,Spain,Spain,France,0.1122302378567414,0.1320421765677434,0.1320421765677434,higher_gyan_p_champion
102,SF,Winner Match 99,Winner Match 100,England,Argentina,England,Argentina,0.0921103908169856,0.0863934090763941,0.0921103908169856,higher_gyan_p_champion
103,third_place,Loser Match 101,Loser Match 102,France,Argentina,France,Argentina,0.1122302378567414,0.0863934090763941,0.1122302378567414,higher_gyan_p_champion
104,final,Winner Match 101,Winner Match 102,Spain,England,Spain,England,0.1320421765677434,0.0921103908169856,0.1320421765677434,higher_gyan_p_champion
